Explantion is not related to gender equality/ violence and discrimination  . ,,,,,,,,,,,
Explanation does not acknowledge the social/gender norm in the scenario,,,,,,,,,,,
"Explanation proposes a general solution or action (Example: They should get a divorce, he should explain to his father, he should explain to his friends, inform the police)",,,,,,,,,,,
"Explanation proposes a general reaction or response talks about giving permission (For example: They should let her go for the picnic, he should explain to his friends, she should ask/give him/her permission to work",,,,,,,,,,,
"Disagrees with gender inequitable position, gives no explanation. ",,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
260,T3,,,,,Because he is still young and that's why he is playing with his sisters,,,,"No, because she don't want to waste her education and that's why she wants to do business","No, because girls should also get right to go outside"
261,T3,,"Yes, when Samir's mother goes to village then only his father will remorse and will improve his behaviour",,"No, Ganesh should complaint about this issue but secretly, so that his name will stay secret and issue will resolved","No, he can play with whaterver toys he wants to play and as soon as he becomes mature he'll stop playing with it. ","No, she should file a complaint with police, seating at home is not the only option",,,,"No, as her brother is at home he can look after the house."
262,T3,,,"No, because she likes to wear those type of clothes",,"No, because Chetu's parents feared that their son will become like girl","No, because her brother can accompany her to the programme",,No,No,No
263,T3,"No, he should explain her ",,,"Yes, he should stay away from that boys",,,,No,,
264,T3,,,,,,,,,,
265,T3,"No, Ramesh might have some misunderstaning and that's why he is beating Pranita",,"No, because it's not her fault at all, because there is nothing bad in wearing such clothes",,,,,"No, Navnath should also help Shruti in household chores",,"No, Nina should go to the trip and her brother can stay at home for one day and look after the baby."
266,T3,"No, he should give her divorce","No, need to talk and explain to samir's father about it",,,"No, he should understand it now ",,"No, she should listen to her husband",,No,"No, Nina's parents should send her for the trip with her friends"
267,T3,,,,,,,,,No,"No, because girls should also get a chance to go outside"
268,T3,No,"Yes, it's better to go to the village instead of getting beaten every day",,,"No, because everybody has right to play","No, because there are other solutions too",,,,
269,T3,"No, because she want's to marry with her neighbor","Yes, because Samir doesn't feel it as an insult",,,"No, because if he keeps playing with girls then when he becomes elder he get habit of playing with girls","No, because Nisha needs to understand that she is grown up now","Yes, Mahesh should work ","Yes, because they both should do house chores",,"Yes, her mother should let her go to the trip "
270,T3,,,,"No, because he should explain his friends","No, because he is just 10 years old now, as he becomes older he will understand",No,"No, Don't know",NA,"No, Don't know","No, Don't know"
271,T3,,,,No Ganesh should stay away from his friends,,,,,,"No, Nina's brother plays daily so what if he looks after the baby for just one day?"
272,T3,,,,,"No, because he likes to play with dolls","No, because her brother can and should take her to the programme",,,,
273,T3,"No, it's not only pranita's fault, her neighbor is also at fault",,"No, she likes to wear it",,"No, he likes to play with dolls",,,,,
274,T3,"No, because they are married for 10 years","No, because Samir should explain to his father",,"No, because he suffered because of mistakes done by his friends",,,"No, let Nisha to work is the right thing",,"No, because if they both work they will become happy family",
275,T3,,,,,"If he plays with dolls he is not going to become like girls, so they should not do this.",,,"No, because both boys and girls both have equal rights",No,
276,T3,"No, need to talk nicely and explain to Pranita that what she was doing is wrong is more better","No, because if he stops violence against his mother they don't need to go to the village",,,,,,,,
277,T3,,,"No, because women have right to wear clothes (of their choice)","Yes, because their (friends of ganesh) parents are sending them to study & get educated so they should not do such things",,,,,,
278,T3,,,,"No, Ganesh should explain his friends not to do such things",,"No, because her brother can accompany her to the college programme","No, because they both should work",,"No, because both husband and wife should work",
279,T3,,,"No, because everybody has right to wear clothes of their choice",,,"No, because everybody has right to go outside","No, because they both have equal rights, they have right to work",,"No, because they both have equal rights","No, Nina has right to go outside"
